company,title,product,story,quote,reasons
Reali,"Reali to close down, reveals job cuts",Reali,"Reali, a real-estate marketplace, stated that it was going to shut down and lay off most of its employees at the start of September. The startup echoed many of its failed compatriots in citing the contributing factors to its demise: disastrous market conditions as well as an unfavorable capital-raising environment. Interestingly, Reali had experienced steady growth up until fairly recently — it raised a $100M funding round just over a year ago. Suffice to say, the onset of failure can happen very fast.","“Real estate startup Reali has joined the list of companies shutting down amid the inflation-driven housing recession. The San Francisco-based fintech company said it will cease operating and start laying off most of its workforce on September 9.
Earlier this year, Reali announced plans to expand outside California and into other states by the end of 2022. However, things went south due to ‘challenging real estate and financial market conditions’ and an ‘unfavorable capital-raising environment,’ Reali cited.”","['Failure reasons summarized:', '', 'Disastrous market conditions', 'Unfavorable capital-raising environment', 'Challenging real estate market', 'Financial market conditions', 'Inflation-driven housing recession']"
Quillion Tech,CPU Chip Company Quillion Technology Ceases Operations,Quillion Tech,"Mid-way through Q3’22, Quillion Tech notified its employees that it would be closing shop. Up to that point, it had raised just shy of $180M for its energy-efficient CPU chips. It had also been hiring rapidly, issuing dozens of new offers to support growth. However, a hiring freeze in July was followed by its August announcement that it would be winding down operations. While the company agreed to pay employees their full salary in August, it stated that it would reduce that amount to the Shanghai minimum wage once September hit. For most employees, this amounted to 3%–5% of their original compensation. The reported reason driving Quillion’s closure was a control rights disagreement among partners that crippled its ability to attain financing. ","“Quillion Technology, which has been in operation for more than half a year and was working on general-purpose computing and data center solutions, informed all staff on August 5 that the company would cease its operations, LatePost reported on August 10…
…According to LatePost, the letter for all employees of the company said that Quillion will pay their August salary in full, but starting September 5, it will only pay the salary according to the minimum wage standard in Shanghai, that is, 2,590 yuan per month…”","['Failure reasons:', '', 'Control rights disagreement among partners.', 'Inability to attain financing.']"
Kitty Hawk,Flying-Car Startup Kittyhawk to Shut Down,Kitty Hawk,"Flying car startup Kitty Hawk, founded by Sebastian Thrun, folded at the end of September. Thrun, who also co-founded Google’s moonshot factory (X), had launched the startup with backing from Google co-founder Larry Page in 2010. He largely shielded its operations from the public eye until it revealed its vertical take-off-enabled Flyer aircraft in 2015. The company continuously shifted its product focus over the years that followed, shuttering the Flyer project and spinning off its other public project into a joint venture with Boeing. While the company seemed to go all in on the development of its electric, autonomous aircraft (Heaviside), progress was hindered by mounting competition in the space and internal tension between Thrun and Heaviside program lead Damon Vander Lind. The company has not provided details on the forces behind its decision, but reports allude to clouded mission focus as playing a role.","“It’s unclear why Kitty Hawk decided to call it quits, but comments [Kitty Hawk CEO Sebastian] Thrun made after the company ended development on Flyer may provide a clue. ‘No matter how hard we looked, we could not find a path to a viable business,’ the chief executive said at the time.”","['Failure reasons:', '', 'Shifting product focus', 'Mounting competition in the space', 'Internal tension between leaders', 'Clouded mission focus', 'Lack of viable business path']"
Bank North,Bank North: SME neobank goes bust after failing to raise Series B,Bank North,"Neobank Bank North was forced to close at the beginning of October. The announcement came on the heels of its failure to raise the funding that it needed to obtain a full banking license from the Bank of England. Bank North was not unfamiliar with fundraising challenges, having been faced with a number of obstacles over the course of its 4-year lifespan. In addition to its past challenges, Bank North co-founder Richard Baker also pointed to mounting market uncertainty as factoring into the decision to shut down. Neobanks are no strangers to this running list of startup failures — in our last update, we covered the downfall of Bank North’s Australian counterpart Volt. ","“Manchester-based neobank Bank North is winding down its operations with immediate effect after failing to raise the funds needed for a full banking licence from the Bank of England.
In a letter to the bank’s shareholders, board chair Ron Emerson stated the firm had failed to secure funding within the required timeframe as it looked to become a fully regulated bank.”","['Failure reasons:', '', 'Funding shortfall for banking license.', 'Persistent fundraising challenges.', 'Market uncertainty and obstacles.']"
Modsy,Modsy quietly shut down while some customers were still awaiting refunds,Modsy,"In late June, interior design service provider Modsy stopped offering its services without warning. While its website remained active at the time, the company deleted its Facebook and Twitter profiles and privated its Instagram account in the weeks that followed. The shuttering of these channels made it difficult for customers with unfinished projects and unfulfilled orders to contact the fallen startup about refunds. More than 2 weeks after the company closed its doors and laid off its designers, former customers were still scrambling to attain what they were owed. ","“‘Capital constraints and uncertain market conditions forced the company to cease operations on July 6 and lay off all employees,’ Tellerman told TechCrunch. Modsy’s assets were acquired by a ‘new entity’ out of an insolvency proceeding, she added, and some former employees were hired by the entity to take the business in a ‘new direction.’”","['Failure reasons:', '', 'Capital constraints', 'Uncertain market conditions', 'Insolvency proceeding', 'Lack of communication channels', 'Unfulfilled orders and refunds']"
ShopX,Ecommerce enabler ShopX shuts down operations,SHOPX,"India-based e-commerce enablement startup ShopX closed down operations at the end of August. From its founding in 2016 through 2020, the startup raised nearly $48M to help local kirana store owners build their digital presence through the establishment of e-commerce operations. As it grew, it took out a number of loans from Singapore-based Fung Investment, which ironically ended up leading to its future failure. The company’s faulty business model prevented it from generating the cash flow and funding required to pay off the interest on those loans, forcing it to file for insolvency and bankruptcy. ","“‘ShopX has been instrumental in co-creating the e-B2B industry. Over time, it has become unviable to operate at scale given the low margin profile of the industry, and hence, the decision to shut down operations. We have focused on an orderly and ethical windup, respecting all company obligations,’ the company spokesperson told Entrackr.”","['Failure reasons:', '', 'Faulty business model', 'Low margin profile', 'Inability to generate cash flow', 'Loan interest burden', 'Insolvency and bankruptcy']"
Bolt Mobility,Micromobility startup Bolt abruptly shuts down in several cities,Bolt Mobility,"Bolt Mobility — the e-bike and scooter startup co-founded by Olympic sprinter Usain Bolt — closed up and disappeared at the end of July. It stopped operating in a number of the cities that it served, leaving public officials to deal with hundreds of thousands of dollars worth of inoperable equipment that had been left behind. A number of its clients unsuccessfully reached out to the company to request information and assistance with equipment removal, with some reporting that emails to Bolt contacts and its CEO went unanswered. At the time, it wasn’t clear if the startup had permanently halted operations in all of its locations, but mounting accounts of service shutoffs and continued silence on Bolt’s part did not paint a promising picture. In a statement at the start of August, the company released a statement on its website explaining that its inability to raise necessary funding had led it to shutter operations. ","“If you think clogging the toilet at a party and Irish-exiting is bad, listen to this: City officials across the country are figuring out what to do with hundreds of dead e-scooters and bikes left behind by micromobility startup Bolt after it abruptly shut down. And the company’s ghosting anyone who tries to call or email…
…Some officials were aware that Bolt was in the process of powering down, but were caught off guard when the company skipped protocol to do so seemingly overnight.”","['Failure reasons:', '', 'Lack of necessary funding.', 'Failure to respond to clients.', 'Abrupt shutdown without proper protocol.', 'Leaving behind inoperable equipment.', 'Disappearing and ghosting communication.']"
Propzy,Vietnamese proptech startup Propzy to shut down,Propzy,"Vietnam-based Propzy, a proptech startup, initiated its shutdown in mid-September. CEO John Le stated that the company had been hit hard by the pandemic and ultimately proved unable to recoup its losses in the face of continued lockdowns. Propzy had previously laid off 50% of its staff in June, but announced that it was still on track to raise fresh capital. This did not pan out, and its inability to raise new funding in conjunction with macro turbulence pressured the company to close its doors for good. ","“We had raised our $25-million Series A round in mid-2020, which was immediately met by a prolonged pandemic compounded by global financial market instability from the Russian war in Ukraine. Our efforts to grow the business during this period resulted in absorbing significant losses that we were not able to recover from given the continual lockdown in Vietnam.”","['Failure reasons summarized:', '', 'Pandemic impact and lockdowns.', 'Inability to recoup losses.', 'Failed to raise new funding.', 'Macro turbulence and global instability.', 'Absorbing significant losses during growth.']"
B3i Services,Major insurers pull the plug on B3i insurance blockchain consortium,B3i Services ,"B3i was a provider of blockchain-backed reinsurance services formed by some of the biggest names in insurance and reinsurance: AIG, Allianz, and Swiss Re, to name a few. The company initially saw significant success, supporting the establishment of the world’s first reinsurance contract using blockchain technology. It also raised $26M over a 2-year period. However, its inability to close a new funding round after its Series B raised in 2020 forced the consortium’s participants to call it quits. ","“B3i, the blockchain insurance venture backed by more than twenty insurers and reinsurers, is to shut down. The company was incorporated in Switzerland in 2018, and its funding came entirely from insurance firms. An inability to close a further funding round triggered the insolvency.
A key question is whether this failure will be attributed to another large consortium, the technology, timing, agility, or something else. Consortia are notoriously hard.”","['Failure reasons:', '', 'Funding round closure failure', 'Insolvency triggered by funding', 'Unclear attribution of failure', 'Challenging nature of consortia']"
Wriggle,Bristol restaurant app Wriggle closes down for good following pandemic,Wriggle,"Restaurant discovery app Wriggle shut down at the start of Q3’22. The platform aggregated local food and beverage deals for consumers as a way to help them save money and expand their horizons. While it started out in Bristol, it expanded into 7 cities across the United Kingdom before closing down in July. At that point, it had gained more than 400K downloads and $2M in funding. Company management pointed to pandemic lockdowns as irreparably stymieing its growth. ","“After each lockdown, we tried to return – but too much momentum was lost, and there was so much pent-up demand for dining out post-pandemic (and red tape around dining restrictions with the rule of six) that our restaurant partners didn’t come back to Wriggle at sufficient speed.”","['Failure reasons:', '', 'Pandemic lockdowns hindered growth.', 'Lost momentum after lockdowns.', 'Pent-up demand for dining out.', 'Red tape around dining restrictions.', 'Slow return of restaurant partners.']"
Airlift,"Airlift, Pakistan’s top startup, shutting down following funding crunch",Airlift,"Pakistan-based Airlift — a ridesharing turned rapid delivery service — announced that it would be closing down operations in the middle of July. Despite raising an $85M Series B round in August 2021, which at the time seemed to signal a promising future for the country’s burgeoning startup ecosystem, the company was unable to finalize the funding round it had planned for this year. Select investors reportedly notified the startup that it would take them more than 2 months to wire the new funding amid the turbulent economic environment, leading other investors to hold as well. As a result of this uncertainty-induced domino effect, the startup was forced to close, as it could not meet its funding requirements for continued operations.","“Airlift founder Usman Gul confirmed to TechCrunch that the startup is shutting down and provided detailed notes about the events of recent months.
The startup’s demise could hurt the local ecosystem’s enthusiasm. In the past three years, scores of global investors, including Tiger Global, Prosus Ventures and Addition, have backed young startups in Pakistan, giving a major vote of confidence to the market.
‘We were never their investors, but I’m still sad for the people losing their jobs and who will be justifiably jaded by what just went down,’ tweeted Kalsoom Lakhani, GP at i2i Ventures, an early-stage focused venture firm in Pakistan.”","['Failure reasons:', '', 'Delayed funding wire transfers.', 'Turbulent economic environment.', 'Uncertainty-induced domino effect.', 'Inability to meet funding requirements.', 'Negative impact on local ecosystem.']"
Butler,Butler shows hundreds of employees the door after raising $50M for room service delivery ,Butler,"Despite sharing a message that it was still afloat in mid-May, on-demand virtual room service platform Butler had actually laid off its entire workforce of 1K employees a few days earlier. Reports later indicated that the company had indeed folded. The closure came as a surprise to its hotel client base, leaving many scrambling to find alternative options to cater to their guests. At the time, neither Butler CEO Premtim Gjonbalic nor the company’s investors had commented on the matter, and the office that it had signed a 3-year sublease for had been abandoned after less than a year. ","“Butler’s downfall is a cautionary tale both of the opportunities and challenges that exist in the world of on-demand startups. There may be clear gaps in the market for services that appear in theory like easy sailing. Yet they can inevitably be buffeted by economic, social and, in recent times, extreme public health headwinds.”","['Failure reasons:', '', 'Layoff of entire workforce', 'Surprise closure to hotel clients', 'Lack of comments from CEO and investors', 'Abandoned office after short lease', 'Challenges in on-demand startup market']"
Kune,Nobody is shocked that this Kenyan food delivery startup failed after one year,Kune,"Kenyan food delivery platform Kune closed down at the end of June, after the company ran out of money and could not find a buyer to save it. Like other food delivery startups that have watched their time come to an end, Kune struggled with low margins, an issue that was further exacerbated by rising food costs.","“Reecht told employees, in a virtual meeting on June 22 announcing the shutdown, that Kune ‘ran out of money completely.’
That made a French investor who agreed to give them 30 million shillings ($250,000) pull back.”","['Failure reasons:', '', 'Insufficient funds and bankruptcy.', 'Inability to find a buyer.', 'Low profit margins.', 'Rising food costs.', 'Withdrawal of French investor.']"
Volt Bank,"Volt, Australi’s first online-only bank, shuts down due to fundraising woes",Volt Bank  ,"Australian neobank Volt Bank closed its virtual doors in June after failing to secure $200M in Series F funding. While the company had previously raised a total of $102M in funding, as was the case with many other startups covered in this post-mortem breakdown, the company lost fundraising momentum as the financial market downturn worsened. As a result of the closure, the company had to lay off its 140 employees, return $100M+ in deposits to customers, and give up its banking license. ","“Volt is the third of four prominent neobanks that were approved in an initial wave by Australian regulators to fold or be sold, leaving just privately held Judo, which had $5.5 billion in mortgages in April, government figures show.”","['Failure reasons:', '', 'Lack of Series F funding', 'Financial market downturn', 'Loss of fundraising momentum', 'Layoffs and employee reduction', 'Return of customer deposits', 'Surrender of banking license', 'Industry consolidation and competition']"
Wingocard,Teen financial literacy app Wingocard shuts down,Wingocard,"Wingocard, a personal finance platform for teenagers, launched in May 2021. At the time, it had more than 75K teens on its waitlist and was able to raise nearly $2M in seed funding. However, as the year came to a close, the company unsuccessfully sought out new investors to provide the fresh capital needed to keep it going, and eventually was forced to close down for good in May 2022. ","“In a note on Twitter, Wingocard co-founder, CTO and VP product and engineering Salvatore D’Agostino writes: ‘Towards the end of 2021, Wingocard was looking for interested investors to keep us going on our mission. Unfortunately, we were unable to close a round of funding.’”","['Failure reasons:', '', 'Insufficient investor interest.', 'Inability to secure funding.', 'Lack of fresh capital.', 'Unsuccessful investor search.', 'Forced to close down.']"
BeyondMinds,"AI startup BeyondMinds shutting down, laying off all 65 employees",BeyondMinds,"In a scenario that is probably starting to sound familiar, AI-as-a-service platform BeyondMinds shut down in May after failing to raise funding or find a buyer. Last year, BeyondMinds co-founder and CEO Rotem Alaluf had been pressured to sell the company by investors wary of what was at the time a burgeoning market downturn. Instead of selling, Alaluf left the company and founded another (Wand.ai) with former BeyondMinds employees. Co-founder Roey Mechrez took hold of the reins, but was unable to rein in the resources the startup needed to carry on. ",“BeyondMinds was notified on Sunday that a possible sale of the company it was looking into had fallen through due to the situation in the market and the general slowing in employee recruitment.”,"['Failure reasons:', '', 'Lack of funding or buyer.', 'Pressure to sell from investors.', 'Market downturn.', 'Founder leaving the company.', 'Inability to secure resources.']"
Udayy,"Edtech startup Udayy shuts down, lays off entire staff",Udayy,"Indian edtech platform Udayy halted operations at the beginning of June. While the company stated that it had sufficient capital, it decided that it would ultimately not be feasible to keep going as children returned to attending school in person. Udayy initially considered pivoting to a hybrid model to offer offline services as well, but this proved not to be a realistic move. After failing to sell off its English learning courses, it shut down for good and laid off its workforce of around 120 employees.","“Several edtech firms are presently venturing into hybrid learning models that involve both online and offline learning. However, Udayy could not tap into that segment.
‘We evaluated the offline mode of learning; however, we were very early stage and the growth through offline would have been very difficult,’ [Udayy cofounder] Yadav said.”","['Failure reasons:', '', 'Infeasible as schools reopened.', 'Hybrid model not realistic.', 'Failed to sell English courses.', ""Couldn't tap into hybrid learning."", 'Growth through offline mode difficult.']"
Crejo,Matrix Backed Edtech Startup Crejo.Fun Shuts Down; Failed To Raise Funding,Crejo,"Crejo, another Indian edtech startup, shuttered at the end of Q2’22 in a tale that largely mirrors Udayy’s downfall. In addition to the harsh fundraising environment, the company cited the reopening of in-person schooling as the final blow to its operations. Co-founder Vikas Bansal stated that the startup had successfully secured new jobs for the vast majority of its workforce and would be providing each employee with one month of severance pay. In an attempt to compensate some of its investors, the company stated that it would attempt to sell its intellectual property and product. ","“Matrix Partners-backed Crejo.Fun has become the latest Indian startup to shut operations amidst the economic downturn and funding winter…
The cofounders – Ankit Agarwal and Vikas Bansal – told employees that lack of funding and reopening of schools made them take the decision to wind down the operations.”","['Failure reasons:', '', 'Lack of funding', 'Reopening of schools']"
Ahead,Mental Health Startup Ahead Shuts Down,Ahead,"Mental health platform Ahead closed down in the middle of April. The company did not cite a specific reason for the closure, but Sid Viswanathan, the CEO of Truepill, which invested $9M in Ahead in 2020, stated that the startup had moved to exclusively focus on B2B operations. As a result, Truepill decided not to extend continued support. At the time of closure, Ahead stated that it would not be taking any new patients and that it would halt services for existing patients by the end of June. ","“At Ahead, our mission has always been to provide accessible, quality, and judgment-free mental healthcare. And while we’ve made great strides toward this mission, it is with deep regret that we share that it is time for us to close our doors. This decision was not easy to make and we understand this sudden change may be difficult news to hear.”","['Failure reasons:', '', 'Shift to B2B operations', 'Lack of continued support', 'Inability to take new patients', 'Halt in services for existing patients', 'Difficult decision to close']"
WanderJaunt,"San Francisco Airbnb rival WanderJaunt abruptly shuts down, vanishes with barely a trace",WanderJaunt,"Airbnb competitor WanderJaunt shut down at the end of June. While the company did not make any major statements regarding the matter, the automated message on its customer service voicemail pointed to economic pressure as the factor driving the decision. While the voicemail message relayed that customers would receive refunds for booked stays, it also indicated that customers should reach out to Airbnb (if they booked a WanderJaunt property through Airbnb) or their bank if they faced any issues. ","“WanderJaunt’s shuttering is just another symptom of the tech industry’s big-time crunch, with investors reticent to put money into fledgling startups, large companies pausing hiring or laying off workers outright and the cryptocurrency industry collapsing.”","['Failure reasons:', '', 'Economic pressure', 'Tech industry crunch', 'Lack of investor funding', 'Hiring pause and layoffs', 'Cryptocurrency industry collapse']"
myNurse,Health startup myNurse to shut down after data breach exposed health records,myNurse,"Chronic care management platform myNurse closed down in May after experiencing a data breach. While the company discovered the breach at the start of March, it did not notify affected patients — whose health records, financial information, and other personal data had been accessed — until the end of April. The company denied that the breach was behind its decision to wind up operations, though it also did not provide any other explanation. ","“myNurse co-founder and chief executive Waleed Mohsen provided TechCrunch with a short statement saying the company was considering “how best to adjust our business model amid a changing healthcare landscape,” but declined to answer any of our questions about the data breach, including why it took the company seven weeks to notify affected patients or if myNurse had carried out a third-party security audit of its systems prior to the breach.”","['Failure reason: Data breach, delayed notification, lack of transparency. ', '', 'Summarized reasons: Data breach, delayed notification, lack of transparency.']"
Gavelytics,Litigation Analytics Company Gavelytics is Shutting Down Tomorrow,Gavelytics,"Gavelytics was a legal tech startup that helped users gain insight into the behavioral patterns exhibited by judges — such as the tendency to favor defendants over plaintiffs. While the company had previously raised $6M, founder and CEO Rick Merrill stated that the company was not able to bring in the funding it needed to continue moving forward. ","“This week I made the difficult decision to close Gavelytics.  Despite our fast start and many accomplishments, I have been unable to grow the business fast enough to secure sufficient financing to continue…”","['Failure reason: Insufficient financing to continue.', '', 'Summarized reasons:', 'Lack of sufficient financing.', 'Inability to secure funding.', 'Slow business growth.', 'Failed to bring in funding.', 'Insufficient funds for continuation.']"
Kaodim,"Malaysian startup Kaodim to shut down on July 1, cites rising costs among challenges",Kaodim,"Kaodim — a platform for booking home services like moving and plumbing — announced that it would cease operations at the start of July. The driving force behind the move was two-fold, involving both existing pandemic-related disruption and more recent rising costs stemming from inflation. Employees were notified of the move ahead of time and provided with severance pay. ","“Against this backdrop, we reluctantly but consciously arrived at the difficult decision to cease operations. We feel strongly that this is the best way for us to honour our obligations to employees, by providing all we can in notice and severance payments. 
In the same way, to our customers, service providers, investors and partners, we believe that ceasing operations, while painful, is better than having to compromise on the level of service that we have constantly strived for and delivered…”","['Failure reasons:', '', 'Pandemic-related disruption', 'Rising costs from inflation']"
Friday,We are shutting down 🙁,Friday ,"Workplace communication startup Friday announced that it would be turning off its application at the beginning of June. In an announcement on its website, Friday co-founder Luke Thomas touched upon a lack of clarity surrounding product vision as well as market competition as reasons behind the closure. Customers were given 60 days to migrate their data from the application as well as recommendations for other products to use. ","“Ultimately, I didn’t have enough clarity to continue pursuing additional investment and as a byproduct, growing the business. The pain-point we aimed to solve is still a very big issue, but I believe over time existing tools (docs, project management, HRIS) will work to solve the problems people face when working outside of the office.”","['Failure reasons:', '', 'Lack of product vision.', 'Market competition.', 'Insufficient clarity for investment.', 'Inability to grow the business.', 'Existing tools solving similar problems.']"
SuperLearn,"Another edtech firm, SuperLearn shuts shop as capital dries out",SuperLearn ,"Rounding out the trio of Indian edtech startups to recently go under, SuperLearn closed its doors at the end of June. As was the case with Udayy and Crejo, SuperLearn highlighted fundraising difficulties amid the return to offline schooling as a reason for its closing. ","“For edtech firms, the funding rush which turned many firms into unicorns ($1 billion and above valuation) nosedived since the end of last year as physical education and learning returned offline.
Several VC and PE-backed startups are now facing a funding crunch owing to the global and domestic turmoil as investors are going conservative on additional investments.”","['Failure reason: Fundraising difficulties during offline schooling. ', '', 'Summarized reasons: Funding crunch, offline schooling.']"
Chisel AI,AI software startup Chisel AI shuts down,Chisel AI,"In April 2022, commercial insurance AI startup Chisel AI announced that it would be shutting down. The company, like many others, explained that macroeconomic pressures prevented it from raising more capital, driving it to closure. ","“It is an inescapable fact of life that things come to an end. It is in how we face those endings that we define ourselves. As we have been throughout, we will continue to be there for each other after this. We will continue to help each other navigate this phase and ensure that everyone finds an amazing place to make an impact with their wonderful talents. We know we have all learned a ton, we have grown together, and we cannot wait to see how we all flourish in life after Chisel AI.”","['Failure reasons:', '', 'Macroeconomic pressures', 'Inability to raise capital']"
Fast,"Fast shuts doors after slow growth, high burn precluded fundraising options",Fast ,"Fast, which enabled retailers to offer one-click login and checkout options, halted operations at the beginning of April. The company had started out hot, raising $125M in funding across deals backed by investors like Stripe, Addition, and Index Ventures. However, the company’s burn far exceeded its revenue growth in 2021, putting it in a precarious position as it entered 2022. Just one week after closing a deal with the Honest Company, the startup released a statement from CEO and co-founder Domm Holland announcing its closure: ","“After making great strides on our mission of making buying and selling frictionless for everyone, we have made the difficult decision to close our doors. While you’ll no longer see the Fast button at checkout, we are incredibly proud of the team we assembled and our work to democratize commerce through Fast’s one-click checkout experience.”","['Failure reasons:', '', 'Burn rate exceeded revenue growth.', 'Precarious financial position in 2022.', 'Closure despite making great strides.', 'Difficulty in sustaining operations.', 'Inability to democratize commerce.']"
Zero Grocery,"Delivery Startup Suddenly Folds, Leaving Food Business Owners With Thousands in Unpaid Bills",Zero Grocery ,"Plastic-free grocery delivery startup Zero Grocery shut down at the beginning of March. Despite having raised $12M just one month earlier, in addition to 3 other seed rounds over the past 3 years, Zero CEO Zuleyka Strasner stated that the startup had “suffered from being chronically undercapitalized.” Several Bay Area food businesses have been left with unpaid bills as a result of the startup’s abrupt closure. ","“Today is Zero’s last day.
With great regret, effective immediately, Zero will be shutting its doors and stopping all further deliveries.
How did this happen? Fundraising has always been the biggest battle we have faced. Unfortunately, it’s the battle we’ve lost.”","['Failure reasons:', '', 'Undercapitalization', 'Lack of fundraising success']"
Munchies,Unilever-backed quick commerce startup Munchies shuts operations,Munchies,"Munchies — a 30-minute delivery startup — closed its doors in March, just 5 months after it raised $3M in seed funding. The startup set itself apart from other Pakistani grocery delivery players by maintaining a focus on snacks and drinks, targeting the country’s convenience-hungry millennial population. While it was initially successful in doing so, sharing domestic expansion plans just a few months prior to shutting down, the company ultimately halted its operations. It has yet to release a statement on the matter, but both its website and mobile app are now inactive. ","“In its pre-seed funding announcement, the startup had claimed that the pilot prior to the incorporation was successful enough to warrant a full-scale investment, as well as life as its own legal entity…
Munchies had reached 3,000 daily orders until October 2021 and had ambitious plans of venturing into new cities before raising a bigger round.”","['Failure reasons:', '', 'Lack of sustainable growth.', 'Insufficient funding for expansion.', 'Inability to maintain operations.', 'No official statement provided.', 'Website and app inactivity.']"
Fridge No More ,Grocery Startup Fridge No More Shutters in Failed DoorDash Deal,Fridge No More,"Fifteen-minute grocery delivery startup Fridge No More shuttered after a deal with potential buyer DoorDash fell through. While the startup attracted over $15M in funding a year earlier, investors became increasingly “concerned about growing competition and about bad order economics,” CEO Pavel Danilov reportedly told employees. Unable to secure fresh capital, the company notified employees that it would be shutting down operations. ","“In a nightmare for more than 150 employees, homegrown edtech startup Lido Learning which is backed by top entrepreneur Ronnie Screwvala, has apparently shut operations, forcing its workforce to seek help via social media platforms.”","['Fridge No More:', '- Deal with DoorDash failed', '- Concerns about competition and economics', '- Unable to secure fresh capital', '', 'Lido Learning:', '- Shutdown, seeking help on social media']"
Lido Learning,Edtech startup Lido Learning shuts shop,Lido Learning ,"K-12 online tutoring platform Lido Learning closed its doors at the end of February. Founder Sahil Sheth reportedly held a town hall meeting, where he informed employees that the company would be shuttering due to financial complications. At that point in time, some of the company’s vendors and staff stated that they hadn’t received their respective payments and salaries for almost 2 months. Lido has not released an official statement on the closure. ","“In a nightmare for more than 150 employees, homegrown edtech startup Lido Learning which is backed by top entrepreneur Ronnie Screwvala, has apparently shut operations, forcing its workforce to seek help via social media platforms.”","['Failure reasons:', '', 'Financial complications', 'Non-payment of vendors and staff', 'Lack of official statement', 'Shutdown without prior notice', 'Workforce seeking help publicly']"
Humm,"Humm closes, but tech lives on",Humm ,"Humm, a once-promising graduate of the UC Berkeley Skydeck Accelerator, had developed a neurostimulation-backed wearable patch designed to enhance memory. While it had generated positive results in early testing stages, the pandemic and supply chain disruption hampered its ability to continue to test and develop the prototype. After failing to raise essential capital in a Series A round, the company folded. Humm CEO Iain McIntyre plans to join California-based Rogalife to help develop its electrostimulation-driven wearable for anxiety relief. ",“Unfortunately we weren’t able to get it to the point that we wanted to from an investment perspective to be able to convince investors to enable us to fund this to mass production… We just didn’t raise anywhere near enough money to make that happen and unfortunately during Covid it was just too hard to make progress fast enough to get to that point.”,"['Failure reasons:', '', 'Pandemic and supply chain disruption.', 'Inability to raise essential capital.', 'Insufficient funds for mass production.', 'Slow progress during Covid.', 'Lack of investor confidence.']"
Nice Tuan,Alibaba looks on as Nice Tuan hits bottom,Nice Tuan ,"Nice Tuan, a community buying platform, reportedly closed at the end of March, despite having raised $1.2B in funding to date. The startup had drawn repeat investments from Alibaba and GGV Ventures, among others, for enabling consumers to collectively buy produce and groceries at competitive rates via WeChat groups. However, in 2021, it fell short of its sales target, largely due to the fact that it was slapped with fines for fraud, dumping, and misleading advertising early in the year. Its financial woes sparked a falling out with Alibaba, accelerating the startup’s downward trajectory. ","“Back when a new community group buying popped up every other week, profitable Nice Tuan looked the likely winner. But even the backing of Alibaba, the biggest dog in the yard, wasn’t enough. Early contenders Tongcheng and Chengxin, both once valued at more than US$1 billion, have also gone bust.
The battleground has certainly cleared, but the last apps standing — Meituan, Pinduoduo, and Xingsheng Youxuan — have all taken a beating and were forged in the fire of a bitter price war. How they will cope in times of price peace, no one really knows. None is in the mood to celebrate.”","['Failure reasons:', '', 'Fines for fraud, dumping, and misleading advertising.', 'Falling out with Alibaba.', 'Financial woes.', 'Intense price war.', 'Uncertainty in times of price peace.']"
Movez,Sport-tech startup Movez shutting down due to Roman Abramovich sanctions,Movez,"Movez – an augmented reality platform for soccer training – shut down due to sanctions placed on Roman Abramovich. The Russian oligarch owned the startup’s main backer – the Chelsea Football Club – and was sanctioned by the British government for his ties to Vladimir Putin in early March. While Abramovich handed the reins over to the Chelsea Charitable Foundation amid the controversy, the club was still rocked by sanctions, inhibiting it from continuing to fund Movez. ","“Most of the company’s employees, estimated at 9, will join Coach-AI, another company owned by [Mati] Kochavi, where they are expected to continue working on the development of the applications they were working on at Movez.”","['Failure reason: Sanctions on Abramovich', '', 'Summarized reasons:', 'Sanctions on main backer', 'Inability to fund Movez', 'Reins handed over amid controversy', 'Club rocked by sanctions', 'Employees join Coach-AI for continued work']"
OnwardMobility,BlackBerry revival is officially dead as OnwardMobility shuts down,OnwardMobility,"OnwardMobility had hoped to help consumers relive the aughts by bringing back the BlackBerry. BlackBerry itself hasn’t manufactured a smartphone since 2016 – however, it offers the brand name under a license that OnwardMobility picked up in 2020. While the company initially planned to release a BlackBerry-branded smartphone with a physical keyboard in 2021, it was unable to bring the product to market, drawing scrutiny from hopeful buyers. Eventually, the company announced its closure, but it did not provide any details on the reasoning behind its decision:","“It is with great sadness that we announce that OnwardMobility will be shutting down, and we will no longer be proceeding with the development of an ultra-secure smartphone with a physical keyboard. 
Please know that this was not a decision that we made lightly or in haste. We share your disappointment in this news and assure you this is not the outcome we worked and hoped for.”","['Failure reasons:', '', 'Product development challenges', 'Inability to bring to market', 'Lack of details provided', 'Disappointment for hopeful buyers', 'Unsuccessful ultra-secure smartphone']"
Protonn,Digital solutions startup Protonn shutdown in less than a year after raising $9 million in Seed Fund,Protonn,"Protonn, a platform to help independent professionals launch businesses, shut down in the first weeks of 2022, despite having raised $9M in seed funding 6 months prior. It was reportedly unable to find product-market fit, and its founders were not able to rework the company’s business model in order to adapt. While not the primary factor, the pandemic contributed to Protonn’s downfall, as it exacerbated existing complications surrounding market alignment.   ","“‘Covid-19 didn’t help the startup either, but there was a point when a pivot became necessary but founders weren’t on the same page on that,’ a person aware of the matter said, adding that the company has returned the full capital to investors.”","['Failure reasons:', '', 'Lack of product-market fit', 'Inability to adapt business model', 'Complications with market alignment', 'Lack of agreement on necessary pivot', 'Impact of Covid-19 pandemic']"
